SEQENCE ID                     TM SP PREDICTION
O83553                          0  0 o
P29723                          0  Y n7-18c23/24o
O30405                          0  Y n6-17c21/22o
O67998                          1  0 i12-30o
O83097                          0  0 o
O83107                          0  0 o
O83159                          0  0 o
O83258                          0  0 o
O83327                          1  0 o6-29i
O83346                          0  Y n5-16c21/22o
O83409                          0  0 o
O83452                          0  0 o
O83746                          1  0 i88-106o
P21992                          0  0 o
P23033                          0  0 o
P29724                          0  Y n8-19c24/25o
P96116                          0  Y n6-17c22/23o
O07896                          0  0 o
O08399                          0  0 o
O33844                          0  0 o
O54312                          0  0 o
O66103                          5  Y n6-17c22/23o417-436i483-503o515-535i571-589o595-613i
O66107                          0  Y n4-14c22/23o
O83047                          0  0 o
O83051                          0  0 o
O83059                          0  0 o
O83092                          0  0 o
O83110                          0  0 o
O83128                          0  0 i
O83129                          0  0 o
O83142                          0  Y n9-20c24/25o
O83146                          0  0 o
O83153                          0  0 o
O83154                          0  0 o
O83217                          0  0 o
O83236                          0  0 o
O83242                          0  0 o
O83270                          0  0 o
O83279                          8  0 i7-26o32-51i58-78o84-105i117-140o160-181i202-224o512-534i
O83281                          0  0 o
O83288                          0  0 o
O83293                          0  0 o
O83303                          0  0 o
O83307                          0  0 o
O83319                          1  0 o130-149i
O83349                          0  0 o
O83351                          0  0 o
O83357                          0  0 o
O83360                          0  0 o
O83361                          0  0 o
O83362                          0  0 o
O83365                         11  0 i12-29o35-59i80-97o103-121i133-152o167-186i198-218o238-255i267-290o296-319i340-360o
O83369                          0  0 o
O83382                          0  0 o
O83394                          0  0 o
O83401                          0  0 o
O83402                         10  0 i16-38o58-76i83-102o122-139i151-169o175-195i200-218o281-305i314-335o347-368i
O83417                          0  0 o
O83433                          0  0 o
O83434                          0  0 o
O83446                          0  0 o
O83455                          0  0 o
O83460                          0  0 o
O83462                          0  0 o
O83466                          0  0 o
O83485                          0  0 o
O83488                          0  0 o
O83489                          0  0 o
O83491                          0  0 o
O83505                          0  0 o
O83514                         12  0 i12-32o44-63i75-94o106-126i138-155o167-200i221-242o248-272i293-315o341-358i370-393o405-428i
O83519                          0  0 o
O83520                          0  0 o
O83521                          0  0 o
O83523                          0  0 o
O83525                          0  0 o
O83527                          0  0 o
O83530                          0  0 o
O83535                          0  0 o
O83536                          0  0 o
O83544                          3  0 o252-276i288-307o350-374i
O83548                          0  0 o
O83549                          0  0 o
O83552                          0  0 o
O83558                          0  0 o
O83561                          0  0 o
O83570                          0  0 o
O83578                          0  0 o
O83600                          0  0 o
O83604                          0  0 o
O83610                          0  Y n6-15c19/20o
O83611                          8  0 i7-25o31-49i61-83o89-111i123-144o150-176i188-210o216-238i
O83625                          0  0 o
O83639                          0  0 o
O83640                          0  0 o
O83641                          0  0 o
O83642                          0  0 o
O83644                          0  0 o
O83649                          0  0 o
O83653                          0  0 o
O83658                          0  0 o
O83664                          0  0 o
O83668                          0  0 o
O83676                          0  0 o
O83678                          0  0 o
