# SignalP-5.0	Organism: euk	Timestamp: 20260405230859
# ID	Prediction	SP(Sec/SPI)	OTHER	CS Position
O83553	OTHER	0.000507	0.999493	
P29723	SP(Sec/SPI)	0.936482	0.063518	CS pos: 22-23. CGS-SH. Pr: 0.3510
O30405	SP(Sec/SPI)	0.866946	0.133054	CS pos: 23-24. CAS-ER. Pr: 0.3188
O67998	SP(Sec/SPI)	0.767747	0.232253	CS pos: 31-32. AWK-AS. Pr: 0.2288
O83097	OTHER	0.000548	0.999452	
O83107	OTHER	0.027136	0.972864	
O83159	OTHER	0.002440	0.997560	
O83258	OTHER	0.002578	0.997422	
O83327	OTHER	0.052993	0.947007	
O83346	SP(Sec/SPI)	0.994193	0.005807	CS pos: 23-24. AQA-ND. Pr: 0.5276
O83409	OTHER	0.000471	0.999529	
O83452	OTHER	0.003880	0.996120	
O83746	OTHER	0.001029	0.998971	
P21992	OTHER	0.002224	0.997776	
P23033	OTHER	0.000496	0.999504	
P29724	SP(Sec/SPI)	0.955601	0.044399	CS pos: 24-25. SKS-DR. Pr: 0.5590
P96116	SP(Sec/SPI)	0.964751	0.035249	CS pos: 22-23. THA-FG. Pr: 0.7312
O07896	OTHER	0.002574	0.997426	
O08399	OTHER	0.002274	0.997726	
O33844	OTHER	0.005564	0.994436	
O54312	OTHER	0.002480	0.997520	
O66103	SP(Sec/SPI)	0.819270	0.180730	CS pos: 19-20. VGA-SF. Pr: 0.4557
O66107	OTHER	0.014201	0.985799	
O83047	OTHER	0.000682	0.999318	
O83051	OTHER	0.000557	0.999443	
O83059	OTHER	0.004033	0.995967	
O83092	OTHER	0.001753	0.998247	
O83110	OTHER	0.000438	0.999562	
O83128	OTHER	0.000697	0.999303	
O83129	OTHER	0.001275	0.998725	
O83142	SP(Sec/SPI)	0.695147	0.304853	CS pos: 22-23. VGC-RK. Pr: 0.4717
O83146	OTHER	0.001046	0.998954	
O83153	OTHER	0.004539	0.995461	
O83154	OTHER	0.001211	0.998789	
O83217	OTHER	0.000599	0.999401	
O83236	OTHER	0.001207	0.998793	
O83242	OTHER	0.000849	0.999151	
O83270	OTHER	0.001466	0.998534	
O83279	OTHER	0.087387	0.912613	
O83281	OTHER	0.002826	0.997174	
O83288	OTHER	0.002426	0.997574	
O83293	OTHER	0.001875	0.998125	
O83303	OTHER	0.002829	0.997171	
O83307	OTHER	0.001637	0.998363	
