ID	Evidences length	Evidences list	Complete evidences
O30405	1	TM	TM
O67998	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O83327	1	PHOBIUS_TM	PHOBIUS_TM
O83746	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O66103	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O83128	1	TM	TM
O83279	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O83319	1	PHOBIUS_TM	PHOBIUS_TM
O83365	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O83402	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O83514	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O83544	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O83561	1	SL	SL
O83611	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O83703	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O83798	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O83943	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O83964	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O83973	1	SL	SL
O83974	1	PHOBIUS_TM	PHOBIUS_TM
O84003	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
P96122	2	GPI|SL	GPI|SL
F7IUJ5	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O07886	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O07887	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O07888	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O66076	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O66105	1	TM	TM
O83079	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O83151	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O83152	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O83172	1	TM	TM
O83215	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O83238	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O83256	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O83263	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O83289	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O83323	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O83324	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O83414	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O83425	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O83426	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O83439	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O83444	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O83504	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O83511	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O83513	1	TM	TM
O83529	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O83547	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
